PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TOV_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK
1630598,Aaron Wiggins,51,36,15,0.706,14.3,116.0,110.7,5.3,15.8,0.057,0.125,0.092,9.246,0.157,100.08,85,18,235,58,321,134,181,121,308,189,303,244,51,340,383
1641712,Rayan Rupert,16,2,14,0.125,7.4,98.8,106.7,-7.8,17.3,0.056,0.144,0.095,9.446,0.183,100.07,412,469,220,502,438,490,76,413,265,195,226,236,51,226,385
1629308,Juan Toscano-Anderson,11,7,4,0.636,4.8,102.2,104.5,-2.4,22.2,0.075,0.182,0.13,11.111,0.112,100.06,443,382,66,121,487,469,54,300,148,128,139,129,51,492,386
202331,Paul George,50,33,17,0.66,33.7,120.8,110.1,10.6,14.8,0.02,0.156,0.091,8.237,0.273,100.02,98,37,290,103,44,23,154,42,344,421,183,252,51,45,387
1629639,Tyler Herro,35,18,17,0.514,33.7,111.3,111.8,-0.4,17.2,0.016,0.157,0.085,8.447,0.276,100.01,280,241,290,265,45,272,225,247,267,448,179,282,51,39,388
1630296,Braxton Key,15,10,5,0.667,3.4,102.6,106.3,-3.7,30.0,0.07,0.231,0.146,3.754,0.168,100.01,423,330,80,88,511,466,68,332,55,146,64,94,1,283,388
1641998,Trey Jemison,9,1,8,0.111,15.7,102.1,118.4,-16.4,12.7,0.123,0.138,0.13,16.34,0.148,99.95,457,491,126,507,298,471,458,497,401,50,255,126,502,373,390
1630162,Anthony Edwards,52,37,15,0.712,35.0,116.6,105.7,10.9,17.1,0.021,0.142,0.087,10.588,0.321,99.93,65,12,235,53,21,115,61,40,272,401,237,276,51,8,391
201143,Al Horford,45,35,10,0.778,27.2,118.6,107.9,10.6,28.8,0.052,0.207,0.134,7.369,0.114,99.93,176,26,152,28,138,53,98,42,60,205,100,119,51,490,391
1628978,Donte DiVincenzo,54,33,21,0.611,25.0,116.8,115.6,1.2,16.7,0.033,0.115,0.074,7.907,0.208,99.91,19,37,365,157,178,109,374,202,285,306,351,342,51,147,393
1631170,Jaime Jaquez Jr.,49,29,20,0.592,29.5,112.9,110.6,2.3,16.7,0.047,0.103,0.075,10.945,0.193,99.88,128,80,354,186,106,231,177,178,283,227,397,337,51,196,394
1630583,Santi Aldama,44,18,26,0.409,24.8,104.4,110.9,-6.5,16.9,0.048,0.204,0.122,8.344,0.191,99.87,189,241,439,370,183,451,189,384,280,225,107,148,51,199,395
